Key,City,Region,Longitude,Latitude
Antarctica/Cape Denison,Cape Denison,Antarctica,142.666672,-67.0
Antarctica/Davis,Davis,Antarctica,77.966667,-68.583336
Antarctica/Deception Island,Deception Island,Antarctica,-60.566666,-62.983334
Antarctica/Esperanza,Esperanza,Antarctica,-56.983334,-63.400002
Antarctica/General San Martin,General San Martin,Antarctica,-67.01667,-68.183334
Antarctica/Islas Orcadas,Islas Orcadas,Antarctica,-44.716667,-60.75
Antarctica/Komsomolskaya,Komsomolskaya,Antarctica,97.48333,-74.083336
Antarctica/Little America,Little America,Antarctica,-162.199997,-78.183334
Antarctica/Mawson Station,Mawson Station,Antarctica,62.883335,-67.599998
Antarctica/McMurdo Sound,McMurdo Sound,Antarctica,166.96666,-77.866669
Antarctica/Mirnyy,Mirnyy,Antarctica,93.01667,-66.550003
Antarctica/Oasis,Oasis,Antarctica,100.716667,-66.300003
Antarctica/Pionerskaya,Pionerskaya,Antarctica,95.5,-69.73333
Antarctica/Sanae,Sanae,Antarctica,-2.35,-70.316666
Antarctica/Vostok 2,Vostok 2,Antarctica,106.866669,-78.449997
